timestamp,Reference,Sensor A,Sensor B,Sensor C
2021-09-10 00:00:00,10.171249780616668,11.387302016278449,12.25756297639389,
2021-09-10 01:00:00,10.349456933666668,11.611275223758852,12.400118211301637,
2021-09-10 02:00:00,10.411510022166667,11.770106028499645,12.286906295459408,
2021-09-10 03:00:00,10.936465839,12.179505461055784,12.72125534231949,
2021-09-10 04:00:00,10.811644304833331,12.485083316317628,13.059130458513884,
2021-09-10 05:00:00,11.197238534833332,12.920235053601248,13.414430769457502,
2021-09-10 06:00:00,11.677060295666665,13.691681929683282,14.343915761834047,
2021-09-10 07:00:00,12.148364314333334,14.405548831253027,15.800924036943627,
2021-09-10 08:00:00,13.272706381666666,16.859117469986106,18.74450783706775,
2021-09-10 09:00:00,13.306660899999999,15.3115591766882,18.021982841549725,18.231188998313204
2021-09-10 10:00:00,11.882700570116667,11.293001820075416,14.60002293139272,14.950690385504572
2021-09-10 11:00:00,9.7235359176,10.033309408601555,12.651570280250896,12.530137665100808
2021-09-10 12:00:00,9.7609341325,9.800108516515449,11.837309871571138,11.982419081322638
2021-09-10 13:00:00,9.235046687516666,9.468136641392958,10.491502703601194,11.418305538493007
2021-09-10 14:00:00,7.9068277849,7.3749328474232945,8.849953996261508,9.354516919411124
2021-09-10 15:00:00,7.384367400483334,6.843375895176059,7.949139511223795,8.116312503716633
2021-09-10 16:00:00,7.174751070483334,6.62130687955979,7.2312861925322025,7.790789650685844
2021-09-10 17:00:00,6.8351227072333325,6.276817665111505,7.3585902342852565,7.411479171947509
2021-09-10 18:00:00,7.117622302450001,7.047605678592636,8.065520030554257,8.077965211860429
2021-09-10 19:00:00,8.1621604383,8.890024804248789,9.836056197202565,9.592330128948968
2021-09-10 20:00:00,8.541649176683334,9.535814109311191,10.414117902650881,10.348344212215006
2021-09-10 21:00:00,7.701886231783334,8.512585771357722,9.492561242786557,9.38534724496454
2021-09-10 22:00:00,7.658781794399999,8.48223419804672,9.243637485449561,9.008691171248055
2021-09-10 23:00:00,8.483505599433334,9.869958940612188,10.485524136185575,10.380180265016099
2021-09-11 00:00:00,9.335745706833334,10.594771932328,11.260482492569162,11.326576959926072
2021-09-11 01:00:00,9.549288183966667,11.252257801783047,12.083442163219658,11.967854622788117
2021-09-11 02:00:00,9.974376792333333,11.539686411457618,12.128410093036926,12.382561992545037
2021-09-11 03:00:00,9.601342905916667,11.2635128329854,11.657850758503606,11.88117814596194
2021-09-11 04:00:00,9.55436223005,10.88960765880726,11.293243362845326,11.676520530844854
2021-09-11 05:00:00,9.516980651199999,11.25753933891243,11.604277330831579,12.068954220424438
2021-09-11 06:00:00,10.3587233061,12.937050148784996,13.430481210845988,13.728366954784446
2021-09-11 07:00:00,11.341707440333332,14.938928105402061,15.99203574920419,16.45602640022609
2021-09-11 08:00:00,9.68038157165,12.382816477344953,13.650105235874648,14.00939450549658
2021-09-11 09:00:00,8.112285060733333,9.60642392253656,11.277548724632188,11.76792764540493
2021-09-11 10:00:00,7.0535895045,7.760614957201388,9.43010744941333,9.492679109750679
2021-09-11 11:00:00,5.089800580516667,4.889921659670035,5.820734967915311,6.074529662200674
2021-09-11 12:00:00,6.30570838425,6.190292426800476,7.775378270608855,8.049109406243781
2021-09-11 13:00:00,6.940712774416666,6.745538921090396,7.93358610670068,8.536318076474055
2021-09-11 14:00:00,5.817069428316667,5.087468083077916,5.778429277435925,6.329617889935783
2021-09-11 15:00:00,5.080484299183333,4.163623662602372,4.622446192637455,5.35928397758969
2021-09-11 16:00:00,5.07126783515,4.043125191867971,4.516807349975344,4.947101372122253
2021-09-11 17:00:00,4.9092976296833335,3.7215740301552924,4.384578355694107,4.742247028466558
2021-09-11 18:00:00,4.846312913383334,4.124389124410883,4.9331528657698955,5.157120060920885
2021-09-11 19:00:00,5.5921644152,5.3831521857773845,5.80752520324604,6.086678499791809
2021-09-11 20:00:00,6.21058249735,6.489668524265993,6.890158171051856,7.077209235289814
2021-09-11 21:00:00,6.238015618633334,6.772063909958253,7.250065517229866,7.173080484736943
2021-09-11 22:00:00,6.5633867442,7.215962741455956,7.671630650368296,7.746608917677971
2021-09-11 23:00:00,7.284300557233333,8.449162517844014,8.73529364767092,9.038934805571257
2021-09-12 00:00:00,6.5633867442,7.229048698423456,7.56528956716503,7.796824895366748
2021-09-12 01:00:00,7.7287537216999995,8.774575051894285,9.043875196883127,9.519082847919021
2021-09-12 02:00:00,7.13738612785,7.99102157052246,8.202327124012578,8.49731882063413
2021-09-12 03:00:00,7.8219331712499995,9.022591729833453,9.127781061969618,9.523421128613515
2021-09-12 04:00:00,9.42649626875,11.150543254750142,11.565857186317777,12.202528737959833
2021-09-12 05:00:00,7.763523414533334,9.004283000072009,8.912719046847728,9.341528754347609
2021-09-12 06:00:00,11.733606796483334,14.547302769049544,15.388044060750369,15.838862817760704
2021-09-12 07:00:00,10.060153125966666,13.354902996832271,14.219746365844614,14.88062168735985
2021-09-12 08:00:00,8.072491230466667,10.638606928802231,11.730381210678232,12.283462188351058
2021-09-12 09:00:00,6.514376449899999,7.6370310124557115,8.650828488771534,9.373145291390353
2021-09-12 10:00:00,4.62538395605,4.677274022426093,5.481411050831344,5.948678161861413
2021-09-12 11:00:00,2.6848191905333336,2.052881038072663,2.5140848657808745,2.466659979880618
2021-09-12 12:00:00,3.317394693066667,2.7020841066725403,3.3185856114277175,3.557170420894552
2021-09-12 13:00:00,4.1712485134833335,3.4369638055474403,4.111684896963198,4.5231128642312886
2021-09-12 14:00:00,3.8772865649833332,2.9632776270656236,3.641279203131109,3.8185836073713895
