timestamp_local,wd,ws,pm1,pm25,pm10,temp,rh
2023-04-30 20:00:00,193.38,0.6869999999999999,0.7632933333333334,0.9211716666666666,3.7360466666666667,16.473333333333333,83.83333333333333
2023-04-30 21:00:00,153.78833333333333,1.4561666666666668,2.9984033333333335,3.236875,16.07234,16.226666666666667,75.36
2023-04-30 22:00:00,171.36499999999998,1.0766666666666667,3.827315,4.064218333333333,10.830786666666667,15.668333333333333,66.695
2023-04-30 23:00:00,213.21166666666667,0.9871666666666666,2.2389916666666663,2.459755,5.692426666666666,15.106666666666666,55.538333333333334
2023-05-01 00:00:00,229.29666666666665,0.8623333333333334,2.1899333333333333,2.3700216666666667,5.51701,14.603333333333333,53.111666666666665
2023-05-01 01:00:00,233.00166666666667,0.9115,2.360151666666667,2.5165383333333335,4.62334,13.715,54.445
2023-05-01 02:00:00,230.73166666666665,0.9306666666666668,2.49955,2.682506666666667,4.816371666666667,13.31,58.595
2023-05-01 03:00:00,218.75666666666666,0.8921666666666667,2.6292816666666665,2.80697,4.85106,13.125,59.406666666666666
2023-05-01 04:00:00,206.04333333333335,0.7913333333333333,2.974715,3.1842866666666665,5.859436666666666,12.21,62.248333333333335
2023-05-01 05:00:00,170.11333333333332,0.19433333333333333,2.9837883333333335,3.1878683333333333,5.48541,11.448333333333332,62.42833333333333
2023-05-01 06:00:00,177.43166666666667,0.3656666666666667,3.7334733333333334,3.9696716666666663,7.031371666666667,10.713333333333333,64.27
2023-05-01 07:00:00,225.27,0.821,3.5160533333333333,3.7317483333333334,6.794083333333333,11.588333333333333,60.019999999999996
2023-05-01 08:00:00,230.97333333333333,1.5106666666666666,2.2964883333333335,2.4785733333333337,5.049303333333333,14.16,49.144999999999996
2023-05-01 09:00:00,235.165,1.9741666666666666,1.8685450000000001,2.04726,5.098203333333333,18.43166666666667,36.736666666666665
2023-05-01 10:00:00,224.86499999999998,1.943,1.7336616666666667,1.9245616666666667,4.740995,18.055,35.87833333333333
2023-05-01 11:00:00,243.98833333333332,2.0058333333333334,1.0011649999999999,1.14829,4.305278333333334,17.87,34.42833333333333
2023-05-01 12:00:00,250.50666666666666,2.4396666666666667,0.760745,0.9118833333333334,2.9861799999999996,19.438333333333333,29.378333333333334
2023-05-01 13:00:00,241.78166666666667,2.4916666666666667,0.946195,1.1402033333333332,5.328273333333333,18.008333333333333,32.75
2023-05-01 14:00:00,204.355,2.332,1.275935,1.4922016666666666,6.084758333333334,18.511666666666667,33.440000000000005
2023-05-01 15:00:00,239.61833333333334,2.448,1.5037533333333333,1.8303966666666667,8.260968333333333,17.58833333333333,35.901666666666664
2023-05-01 16:00:00,225.03,2.134,2.129935,2.478845,8.935545,16.665,40.74
2023-05-01 17:00:00,225.315,1.7613333333333334,2.787415,3.1034883333333334,7.802761666666667,16.74833333333333,41.34
2023-05-01 18:00:00,243.71666666666667,1.7211666666666665,2.7160333333333333,3.0516833333333335,9.255384999999999,16.75,40.99333333333333
2023-05-01 19:00:00,211.645,1.275,2.9443783333333333,3.2502366666666664,7.352725,16.453333333333333,41.343333333333334
2023-05-01 20:00:00,196.185,1.2931666666666668,2.831843333333333,3.1577116666666667,8.131976666666667,15.898333333333333,42.025
2023-05-01 21:00:00,212.53,0.6356666666666667,3.2441933333333335,3.5221716666666665,6.783429999999999,15.548333333333334,50.223333333333336
2023-05-01 22:00:00,237.54666666666665,0.7645,2.2753183333333333,2.494043333333333,5.6269599999999995,13.763333333333332,64.67166666666667
2023-05-01 23:00:00,161.04833333333332,0.22766666666666666,3.149308333333333,3.330443333333333,5.770818333333334,12.129999999999999,72.75666666666666
2023-05-02 00:00:00,163.23,0.3268333333333333,5.0708649999999995,5.272741666666667,7.183216666666667,11.2,77.315
2023-05-02 01:00:00,157.87166666666664,0.298,4.03564,4.230445,5.941983333333334,10.770000000000001,76.02166666666668
2023-05-02 02:00:00,175.735,1.1328333333333334,2.362476666666667,2.536165,4.41148,11.141666666666667,65.48833333333333
2023-05-02 03:00:00,187.61499999999998,0.5643333333333334,1.4261983333333332,1.5569666666666668,3.46006,12.055,57.276666666666664
2023-05-02 04:00:00,203.88333333333333,0.275,0.8745366666666666,0.974355,2.299383333333333,11.578333333333335,58.64833333333333
2023-05-02 05:00:00,225.655,0.9225,0.3644866666666667,0.42813666666666667,1.3830116666666668,11.188333333333333,60.108333333333334
2023-05-02 06:00:00,262.08,0.743,0.5524183333333333,0.634775,1.7295016666666667,11.03,61.865
2023-05-02 07:00:00,223.095,0.7675,0.48303999999999997,0.5514899999999999,1.4047983333333331,11.104999999999999,58.845
2023-05-02 08:00:00,248.48833333333334,1.3778333333333335,0.37843166666666667,0.4403116666666667,1.7411883333333333,11.908333333333333,53.04833333333333
2023-05-02 09:00:00,244.435,1.5311666666666668,0.2693333333333333,0.3480666666666667,2.3658966666666665,12.851666666666667,50.255
2023-05-02 10:00:00,244.21,1.2771666666666666,0.2640033333333333,0.33069333333333334,2.1159766666666666,13.646666666666667,48.13166666666667
2023-05-02 11:00:00,227.72333333333333,1.1973333333333334,0.28270666666666666,0.375465,1.5079466666666665,13.893333333333334,49.105000000000004
2023-05-02 12:00:00,250.39666666666665,1.1435,0.4058733333333333,0.4994766666666666,2.1056883333333336,14.26,49.88
2023-05-02 13:00:00,257.19666666666666,0.8551666666666667,0.57652,0.7172233333333333,2.8014266666666665,14.366666666666667,56.62166666666667
2023-05-02 14:00:00,261.95166666666665,1.1864999999999999,0.5403566666666666,0.6278316666666667,1.8992933333333333,14.711666666666668,62.21333333333334
